,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,3,0.0,0.0,77750689.04946056,0.04116649927153948,107348939.87622984,0.14524754259402978,10273627.962733105,0.006430292438646623,68929176.46170065,0.042940000500901895,84600000.0,0.0
35,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,1,0,4,2,0,1,3,0.0,0.0,177580658.95119816,0.00870486189953334,23412541.618987188,0.00672329528801899,23218811.26950704,0.0032151462193233116,115046615.26391357,0.06570561390373586,176700000.0,0.0
36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,2,0,0,0,0,1,0,42291505.65437629,0.0,73177395.32972682,0.014819939737754216,108895522.20723303,0.06823420212226053,4875943.369615374,0.0010918387627704596,39951595.22921928,0.006029912610892963,84600000.0,4160.859110366828
37,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,4,2,1,0,0,0,7,8,5,7,1,0,0,0,0,130459909.52246656,0.0,22240655.757933136,0.02558216936575607,129063998.88101615,0.0,22258486.725668453,0.0,0.0,0.0,1574400000.0,0.0
38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,1,2,0,0,1,0,0,1,187567109.76080626,0.16080671763263804,102336429.85235605,0.0,57237973.27420182,0.030166892870103046,6519852.157708263,0.0001154446063710792,25037214.086173728,0.0,121200000.0,0.0
39,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0,0,0,4,0,1,1,7,5,0,0,0,115272862.040791,0.0,23059121.6131982,0.027445626530709935,49622725.1402255,0.0,35552093.1563724,0.0,65074491.5874086,0.07190025975892557,115300000.0,0.0
40,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,7,0,0,5,167336245.4949138,0.1072044784217587,9204113.585228458,0.010755691160677748,46650169.32145682,0.0,17561371.771760643,0.0019640030294163645,61652033.99698292,0.027669210079895395,61400000.0,0.0
41,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,7,0,0,5,1,2,1,0,0,0,0.0,0.0,166071355.5283289,0.0,58156077.51857878,0.0656109107904225,20894579.35284727,0.0,17603950.676564448,0.019835524024230035,339000000.0,0.0
42,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,2,4,7,0,0,0,0,0,1,0,0,1,0,0,0,171787464.3741322,0.0,22532964.99195637,0.02624768978181103,47682481.56257157,0.058967888914922134,9936807.896408247,0.002148528428683369,0.0,0.0,559900000.0,0.0
43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,0,1,1,0,0,0,0,0,0,0,3,7,102192937.55533153,0.0,109257162.28787515,0.03708281854583531,43293831.01641936,0.0954716136747152,0.0,0.0,79232000.72221279,0.0,205800000.0,0.0
44,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,4,4,0,0,0,0,0,0,0,1,0,7,7,0,138778943.76610827,0.0,22942197.9195889,0.027179418364287965,0.0,0.0,6320800.309666242,0.0,100105457.62015328,0.0,492600000.0,0.0
45,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,4,0,2,2,167336245.4949138,0.1072044784217587,9204113.585228458,0.010755691160677748,20299287.62732069,0.0,17997148.78809538,0.0009820015147081822,69561084.0916174,0.013834605039947698,61400000.0,0.0
46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,7,6,0,3,2,1,0,5,32694901.094161935,0.0,87442461.32997963,0.045909099892564274,127775366.75848815,0.0,16563094.679399516,0.0,62967163.32200457,0.0,84600000.0,0.0
47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,8,8,0,0,6,0,0,1,3,0,0,76431543.68310125,0.0,295571934.18677366,0.0,105738506.715652,0.16300680621460065,8732617.03788133,0.0017058559478729716,30351526.042379983,0.0,84600000.0,0.0
48,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,4,2,2,0,0,5,0,0,0,3,32694901.094161935,0.0,85299330.41503748,0.013334058738436821,45876507.22344398,0.0,11068771.68625446,0.0,30351526.042379983,0.0,290400000.0,1027.0010950352837
49,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,3,0,5,1,3,0,0,0,0,6,0,1,0,0,0,0,92648501.6727509,0.0,47842699.56310011,0.0,60123859.855887026,0.007572310718498787,10217186.389482984,0.00028914075810235624,45650471.165642515,0.006108448556827923,748700000.0,5407.830730739853
50,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,5,0,3,0,3,2,0,0,1,0,0,0,0.0,0.0,116004983.79615441,0.0,63274050.50416668,0.03232308588182678,10398946.002220422,0.0025062607931668622,14741057.697585676,0.01639638375097132,583100000.0,0.0
51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,71223146.50296113,0.0,84758237.86046812,0.05422185159631407,106438749.07836863,0.18720707780031476,4875943.369615374,0.0030328854521401655,36605878.33884842,0.04071651050545564,84600000.0,0.0
52,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,4,0,1,0,0,3,0,0,0,0,66507014.9338145,0.0,85299330.41503748,0.03703905205121339,36508591.543823496,0.03606336606974587,8453407.696608048,0.0,14023260.244539032,0.015534106974667996,546500000.0,0.0
53,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,6,9,4,7,1,2,0,0,0,1,1,4,0,0,0,244230312.28622836,0.0,177725050.68724,0.0,0.0,0.0,27754823.32743401,0.0011132365479161223,49231161.597667925,0.019873855808326103,213300000.0,2005.3659289374384
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,4,0,0,0,2,6,0,3,0,129053253.34177172,0.024236612635373203,84758237.86046812,0.05422185159631407,26403379.542306438,0.0,20793414.8415654,0.0,30351526.042379983,0.0,0.0,0.0
55,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,6,6,7,7,3,0,0,0,2,1,7,0,0,0,199882935.51425916,0.024236612635373203,242650022.35838723,0.0,0.0,0.0,29866412.39282967,0.0,49956154.25312426,0.05607607526272642,213300000.0,0.0
56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,4,4,4,0,3,0,0.0,0.0,112729385.82268319,0.04116649927153948,96285242.33549292,0.10834223721812261,33470177.152405865,0.0,30351526.042379983,0.0,84600000.0,0.0
57,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,7,4,0,1,0,0,0,0,2,6,4,3,0.0,0.0,140822678.00042614,0.0,20299287.62732069,0.0,11666971.736301716,0.0028624271799572334,123577928.71281758,0.0,523300000.0,0.0
58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,150374742.42916545,0.10207546448162576,60927881.419984214,0.026588737106227348,34221561.73832255,0.0,10162200.21160014,0.006351923182943335,76308332.16267611,0.08492380265261068,30700000.0,0.0
59,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,2,2,1,0,7,0,0,2,7,0,0,8,32694901.094161935,0.0,140046178.8301344,0.0010978250612283973,48730081.63401666,0.003855616569176757,30133680.979332276,0.0005905202600635539,125619002.53583315,0.010305600120216455,115300000.0,7862.740742896328
60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,2,1,5,0,0,0,3,3,4,0,0,0,60717312.84309486,0.0,158087063.614498,0.0012513615512912161,111509563.49541059,0.02934122511862812,29664045.303329118,0.0,0.0,0.0,84600000.0,6610.592010816447
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,2,3,0,0,0,0,0,1,130661372.87632072,0.05360223921087935,84381875.71549009,0.05336496217183148,84552228.80364618,0.07886484058219213,4875943.369615374,0.0030328854521401655,39951595.22921928,0.016749757252480454,0.0,0.0
62,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,5,4,0,0,5,0,0,0,3,7,2,0,0,0,147046891.04121014,0.0,74821825.23740785,0.01838582040928063,14557182.838062916,0.03232308588182678,34487650.76874334,0.0,0.0,0.0,583100000.0,0.0
63,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,5,3,0,0,1,0,0,0,0,7,5,0,0,0,140249369.74390027,0.0,61362705.41176691,0.027578730613920945,14214392.399170505,0.03155682016647855,28265438.623856276,0.0,0.0,0.0,800900000.0,0.0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,3,10,7,0,0,7,134745075.85796067,0.019296806115916568,57717596.29446736,0.023911313218778187,56803676.06433253,0.02839134260958917,53073037.06500058,0.0,44193513.54513965,0.0,0.0,3346.811745954179
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,0,0,0,0,0,0,7,1,130661372.87632072,0.006432268705305522,49583611.84426529,0.00025383134684124045,110844097.43395221,0.029024597615615134,0.0,0.0,75869639.77914998,0.0,0.0,7209.071438503968
66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,3,156608120.56145063,0.028021986664650923,62839085.1602542,0.0062784701745566525,14508519.89569411,0.011566849707530271,8001058.405542498,0.0017549785193668726,52043023.23818285,0.008628031171071068,30700000.0,2805.1670991044884
67,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,0,1,2,7,0,0,7,130661372.87632072,0.05360223921087935,52063832.38617386,0.01084972881907125,21885532.79177561,0.0034790832193357787,29677601.071832888,0.0,93287070.96233228,0.05455111554540334,61400000.0,0.0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,3,0,0,0,0,0,3,0,0,0,152385429.4781825,0.024236612635373203,87442461.32997963,0.045909099892564274,110178631.37249386,0.2392330842716846,8453407.696608048,0.0,0.0,0.0,0.0,0.0
69,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,4,0,0,1,3,0,4,0,0,0,66507014.9338145,0.0,68575423.08419731,0.017942140131910658,34588824.28235519,0.031261872952380934,19176830.963968083,0.0,0.0,0.0,831600000.0,0.0
70,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,4,2,3,1,1,0,0,0,3,0,2,32694901.094161935,0.0,151667412.63516167,0.008926702038218324,69869514.91937588,0.0,15688936.286148619,0.009946446339571924,60854576.45659251,0.0,146000000.0,0.0
71,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,1,0,1,0,0,4,5,0.0,0.0,108799751.40981813,0.018297084353806625,46650169.32145682,0.0,13813717.1436814,0.0048818175393446385,97021239.25166386,0.02396675325297519,333100000.0,0.0
72,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,2,0,9,0,0,0,0,0,1,0.0,0.0,73315450.27094865,0.0,68809764.86572495,0.007107629898177739,6759270.549470266,0.0046028940913424455,53440381.819449514,0.03146602296196317,538900000.0,0.0
73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,1,6,0,1,0,1,0,0,0,0,125797238.44921103,0.0,84758237.86046812,0.05422185159631407,56232105.137590505,0.0,8332499.255105671,0.0013730913398888303,36605878.33884842,0.04071651050545564,84600000.0,0.0
74,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,8,1,2,2,0,0,4,2,1,0,4,0,42291505.65437629,0.0,189254776.91064662,0.0,22167818.198803753,0.0,25814602.496021114,0.0,75535457.40854318,0.04724141755046393,146000000.0,0.0
75,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,2,0,3,0,0,0,71223146.50296113,0.0,73177395.32972682,0.04116649927153948,91285094.42926615,0.19918491726744447,16373078.863592021,0.0,11912980.518993055,0.013110274723824238,558500000.0,0.0
76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,0,0,0,1,0,8,0,0,32694901.094161935,0.0,104774409.06640181,0.044851469280725774,26403379.542306438,0.0,8732617.03788133,0.0017058559478729716,48463701.69719181,0.0,169200000.0,0.0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,1,0,0,1,0,0,1,0,3,0,85246019.34861892,0.0,111740850.75804774,0.032853747567789686,108749696.64152524,0.19355959469541129,8593369.866856847,0.0015553521070719766,30351526.042379983,0.0,0.0,0.0
78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,1,7,1,0,0,68139002.95605196,0.0,101148543.29194185,0.028111146946764896,111355116.48725653,0.24389782935028032,21069784.935395602,0.0,25037214.086173728,0.0,84600000.0,0.0
79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,4,0,7,0,0,0,0,0,7,1,68139002.95605196,0.0,92087879.22650783,0.0053821763136870935,70725950.1753344,0.009463780869863056,5276061.152391033,0.00040387800721491675,75869639.77914998,0.0,217800000.0,5020.740507221475
80,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,5,3,3,0,0,5,0,0,0,6,0,0,0,53972506.18695759,0.0,100759376.17493644,0.0,42917613.48735264,0.03058655563364266,16729094.142841395,0.002675663110465045,45650471.165642515,0.050903737973566024,656500000.0,0.0
81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0,2,0,1,0,0,3,0,0,4,68139002.95605196,0.0,23059121.6131982,0.027445626530709935,43878096.290305056,0.0,8453407.696608048,0.0,76760110.94880283,0.04793350650595038,286800000.0,0.0
82,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,4,0,0,0,1,2,1,0,0,0,66507014.9338145,0.0,123696760.04493293,0.01956733695900214,43371054.5204964,0.09577780366052555,20894579.35284727,0.0,0.0,0.0,290400000.0,0.0
83,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3,0,3,0,0,0,7,3,0,115851949.22904456,0.0,23059121.6131982,0.027445626530709935,50962397.12067895,0.0,8592733.27252784,0.004979382336754004,82593104.13074732,0.0,115300000.0,0.0
84,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,4,0,5,7,0.0,0.0,126035803.81075251,0.008971070065955329,28579073.31006901,0.06252374590476187,11549139.810136527,0.001102885559064781,88954800.96600011,0.0,698400000.0,0.0
85,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,6,0,0,7,5,0,0,0,1,2,1,0,0,0,60717312.84309486,0.0,156126240.90099117,0.009059806121429322,28725062.13717542,0.06310258932082323,20894579.35284727,0.0,28046520.489078064,0.031068213949335993,917900000.0,0.0
86,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,9,3,4,0,0,0,8,0.0,0.0,69705171.79491878,0.03708281854583531,97746469.79383247,0.029048406929512504,19176830.963968083,0.0,60832002.32627399,0.013691197921473199,679700000.0,0.0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,0,0,0,1,0,0,4,0,0,7,130741007.79112515,0.024236612635373203,50454067.98484788,0.0031728918355155055,109415162.7029836,0.19619815722051948,9695195.36216505,0.0,44193513.54513965,0.0,0.0,0.0
88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,1,4,3,7,1,0,0,37255203.23710208,0.0,61304243.56496225,0.027445626530709935,46650169.32145682,0.0,37407924.71713887,0.0,41499882.971708916,0.018495148073330154,30700000.0,0.0
